Date,SPY,GS,MSFT,TLT,MRK
9/10/2012,119.632301,98.449478,25.307489,99.530861,30.457027
9/11/2012,119.965752,100.175034,25.365162,98.90641,30.505203
9/12/2012,120.365906,101.505661,25.35693,97.673576,30.64283
9/13/2012,122.199844,103.591736,25.488735,97.289314,31.039095
9/14/2012,122.74173,104.18409,25.711164,94.703629,30.31629
9/17/2012,122.32489,102.930717,25.711164,95.840324,30.580387
9/18/2012,122.224846,102.913551,25.686453,96.320732,30.635996
9/19/2012,122.291504,102.17527,25.579357,96.953125,30.934845
9/20/2012,122.299866,100.982002,25.908884,97.193291,31.198942
9/21/2012,122.248779,100.200798,25.694687,97.305344,31.212847
9/24/2012,122.064392,100.097771,25.35693,98.065842,31.372686
9/25/2012,120.765396,97.436508,25.035639,99.0345,31.351849
9/26/2012,120.086517,97.075943,24.854397,100.099213,31.282351
9/27/2012,121.217957,98.921654,24.846161,99.386742,31.435266
9/28/2012,120.656456,97.591057,24.51664,99.44281,31.3449
10/1/2012,120.974915,100.320961,24.294205,99.811806,31.42831
10/2/2012,121.100632,100.655769,24.434256,99.675407,31.602045
10/3/2012,121.595062,101.222382,24.599024,99.70755,31.817507
10/4/2012,122.466667,102.930717,24.739071,98.464066,32.053802
10/5/2012,122.475044,102.424217,24.590782,97.188591,32.165009
10/8/2012,122.056015,102.553009,24.533112,98.006844,32.206692
10/9/2012,120.849167,102.698959,24.121212,97.830292,32.088558
10/10/2012,120.078178,103.085251,23.874065,98.520264,31.692402
10/11/2012,120.145203,104.72493,23.849348,99.202141,31.588142
10/12/2012,119.751305,103.188248,24.055302,99.450821,31.706303
10/15/2012,120.748627,106.879692,24.310684,99.226219,32.380463
10/16/2012,121.97213,105.780846,24.294205,97.854416,32.783558
10/17/2012,122.525284,107.24025,24.376591,96.947906,32.93647
10/18/2012,122.206841,107.437691,24.302443,96.354286,33.332619
10/19/2012,120.170334,106.124237,23.593969,97.661865,32.686253
10/22/2012,120.187096,105.394539,23.066727,97.036148,32.304012
10/23/2012,118.519356,102.158096,23.107918,98.423988,31.893948
10/24/2012,118.184135,102.819099,22.984348,97.4533,31.887001
10/25/2012,118.527733,102.776207,22.967869,96.955925,32.178902
10/26/2012,118.460686,102.535835,23.239729,98.383873,32.074654
10/31/2012,118.460686,105.068321,23.511589,98.961418,31.713251
11/1/2012,119.701004,107.180161,24.318926,98.151207,31.928699
11/2/2012,118.636703,105.80661,24.302443,98.07901,31.9704
11/5/2012,118.87973,106.519112,24.40954,98.632591,31.741055
11/6/2012,119.809975,108.382004,24.599024,97.701988,31.914804
11/7/2012,117.094658,101.282463,23.956446,99.474838,30.900091
11/8/2012,115.686691,98.955994,23.734016,100.950943,30.469189
11/9/2012,115.787247,99.711472,23.750492,101.063286,30.615141
11/12/2012,115.879471,100.647186,23.247969,101.231743,30.594288
11/13/2012,115.477158,99.986145,22.500448,101.568642,30.357981
11/14/2012,113.918411,98.071777,22.292795,101.664917,29.920128
11/15/2012,113.725647,99.101936,22.143293,101.464371,29.746391
11/16/2012,114.287163,99.445335,22.027014,101.376114,29.934027
11/19/2012,116.600204,101.557152,22.201435,100.806557,30.121683
11/20/2012,116.65049,101.376907,22.184822,99.795738,30.274586
11/21/2012,116.868362,101.042076,22.384163,99.739601,30.503941
11/23/2012,118.460686,103.282692,23.007101,99.643349,30.775
